;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:14/11/2020 at 15:04:48
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:-5.000mW            
;Max:2.618W              
;Average:2.472W              
;Std.Dev.:44.25mW             
;Overrange:0                   

;Channel B:Statistics
;Min:-2.000mW            
;Max:2.793W              
;Average:2.689W              
;Std.Dev.:40.39mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 14/11/2020 at 15:04:48.636000
  Timestamp   	  Channel A  	  Channel B  	
       450.033	  2.537e+000 	             	
       450.063	             	  2.764e+000 	
       456.032	  2.535e+000 	             	
       456.062	             	  2.762e+000 	
       462.030	  2.542e+000 	             	
       462.060	             	  2.759e+000 	
       468.029	  2.546e+000 	             	
       468.059	             	  2.751e+000 	
       474.032	  2.553e+000 	             	
       474.058	             	  2.764e+000 	
       480.027	  2.537e+000 	             	
       480.057	             	  2.763e+000 	
       486.025	  2.545e+000 	             	
       486.056	             	  2.755e+000 	
       492.024	  2.550e+000 	             	
       492.054	             	  2.761e+000 	
       498.023	  2.545e+000 	             	
       498.053	             	  2.759e+000 	
       504.027	  2.539e+000 	             	
       504.052	             	  2.761e+000 	
       510.020	  2.541e+000 	             	
       510.051	             	  2.763e+000 	
       516.019	  2.541e+000 	             	
       516.049	             	  2.759e+000 	
       522.018	  2.541e+000 	             	
       522.048	             	  2.761e+000 	
       528.017	  2.543e+000 	             	
       528.047	             	  2.753e+000 	
       534.021	  2.540e+000 	             	
       534.046	             	  2.757e+000 	
       540.014	  2.540e+000 	             	
       540.045	             	  2.756e+000 	
       546.012	  2.541e+000 	             	
       546.043	             	  2.763e+000 	
       552.011	  2.546e+000 	             	
       552.042	             	  2.761e+000 	
       558.010	  2.546e+000 	             	
       558.041	             	  2.760e+000 	
       564.014	  2.543e+000 	             	
       564.040	             	  2.759e+000 	
       570.007	  2.546e+000 	             	
       570.038	             	  2.757e+000 	
       576.006	  2.543e+000 	             	
       576.037	             	  2.764e+000 	
       582.004	  2.542e+000 	             	
       582.036	             	  2.756e+000 	
       588.005	  2.551e+000 	             	
       588.035	             	  2.757e+000 	
       594.008	  2.539e+000 	             	
       594.034	             	  2.761e+000 	
       600.000	  2.541e+000 	             	
       600.032	             	  2.759e+000 	
       606.031	             	  2.762e+000 	
       606.066	  2.535e+000 	             	
       612.030	             	  2.760e+000 	
       612.064	  2.546e+000 	             	
       618.000	  2.541e+000 	             	
       618.029	             	  2.759e+000 	
       624.027	             	  2.759e+000 	
       624.061	  2.545e+000 	             	
       630.026	             	  2.758e+000 	
       630.060	  2.533e+000 	             	
       636.025	             	  2.759e+000 	
       636.059	  2.542e+000 	             	
       642.024	             	  2.759e+000 	
       642.057	  2.547e+000 	             	
       648.023	             	  2.759e+000 	
       648.060	  2.545e+000 	             	
       654.021	             	  2.760e+000 	
       654.055	  2.541e+000 	             	
       660.054	  2.547e+000 	             	
       660.087	             	  2.759e+000 	
       666.053	  2.532e+000 	             	
