;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:16/11/2020 at 09:57:09
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:0.000W              
;Max:0.000W              
;Average:0.000W              
;Std.Dev.:0.000W              
;Overrange:0                   

;Channel B:Statistics
;Min:0.000W              
;Max:0.000W              
;Average:0.000W              
;Std.Dev.:0.000W              
;Overrange:0                   
;--------------------


;First Pulse Arrived : 16/11/2020 at 09:57:09.644000
  Timestamp   	  Channel A  	  Channel B  	
       450.061	             	  2.691e+000 	
       456.033	  2.432e+000 	             	
       456.059	             	  2.695e+000 	
       462.031	  2.426e+000 	             	
       462.058	             	  2.698e+000 	
       468.029	  2.439e+000 	             	
       468.057	             	  2.691e+000 	
       474.031	  2.434e+000 	             	
       474.056	             	  2.691e+000 	
       480.027	  2.441e+000 	             	
       480.054	             	  2.688e+000 	
       486.026	  2.429e+000 	             	
       486.053	             	  2.691e+000 	
       492.024	  2.441e+000 	             	
       492.052	             	  2.694e+000 	
       498.023	  2.425e+000 	             	
       498.051	             	  2.693e+000 	
       504.025	  2.429e+000 	             	
       504.050	             	  2.699e+000 	
       510.020	  2.430e+000 	             	
       510.048	             	  2.690e+000 	
       516.019	  2.435e+000 	             	
       516.047	             	  2.690e+000 	
       522.018	  2.478e+000 	             	
       522.046	             	  2.687e+000 	
       528.016	  2.471e+000 	             	
       528.045	             	  2.691e+000 	
       534.020	  2.471e+000 	             	
       534.043	             	  2.686e+000 	
       540.014	  2.288e+000 	             	
       540.042	             	  2.695e+000 	
       546.013	  2.480e+000 	             	
       546.041	             	  2.685e+000 	
       552.011	  2.484e+000 	             	
       552.040	             	  2.691e+000 	
       558.010	  2.477e+000 	             	
       558.039	             	  2.681e+000 	
       564.015	  2.479e+000 	             	
       564.037	             	  2.682e+000 	
       570.007	  2.475e+000 	             	
       570.036	             	  2.691e+000 	
       576.006	  2.483e+000 	             	
       576.035	             	  2.688e+000 	
       582.005	  2.479e+000 	             	
       582.034	             	  2.685e+000 	
       588.002	  2.481e+000 	             	
       588.032	             	  2.692e+000 	
       594.008	  2.470e+000 	             	
       594.031	             	  2.682e+000 	
       600.001	  2.462e+000 	             	
       600.030	             	  2.691e+000 	
       606.000	  2.472e+000 	             	
       606.029	             	  2.690e+000 	
       612.028	             	  2.690e+000 	
       612.064	  2.470e+000 	             	
       618.026	             	  2.694e+000 	
       618.064	  2.468e+000 	             	
       624.002	  2.463e+000 	             	
       624.025	             	  2.693e+000 	
       630.024	             	  2.673e+000 	
       630.060	  2.477e+000 	             	
       636.023	             	  2.687e+000 	
       636.059	  2.470e+000 	             	
       642.021	             	  2.687e+000 	
       642.058	  2.460e+000 	             	
       648.020	             	  2.690e+000 	
       648.058	  2.469e+000 	             	
       654.019	             	  2.686e+000 	
       654.061	  2.468e+000 	             	
       660.054	  2.467e+000 	             	
       660.084	             	  2.687e+000 	
       666.053	  2.471e+000 	             	
       666.083	             	  2.693e+000 	
       672.051	  2.469e+000 	             	
       672.082	             	  2.688e+000 	
       678.053	  2.465e+000 	             	
       678.081	             	  2.685e+000 	
       684.049	  2.471e+000 	             	
       684.080	             	  2.688e+000 	
       690.047	  2.471e+000 	             	
       690.078	             	  2.689e+000 	
       696.046	  2.471e+000 	             	
       696.077	             	  2.688e+000 	
       702.045	  2.469e+000 	             	
       702.076	             	  2.686e+000 	
       708.047	  2.474e+000 	             	
       708.075	             	  2.688e+000 	
       714.042	  2.472e+000 	             	
       714.073	             	  2.677e+000 	
       720.041	  2.466e+000 	             	
       720.072	             	  2.689e+000 	
       726.040	  2.459e+000 	             	
       726.071	             	  2.678e+000 	
       732.037	  2.476e+000 	             	
       732.070	             	  2.692e+000 	
       738.041	  2.446e+000 	             	
       738.068	             	  2.689e+000 	
       744.036	  2.449e+000 	             	
       744.067	             	  2.682e+000 	
       750.034	  2.461e+000 	             	
       750.066	             	  2.687e+000 	
       756.033	  2.477e+000 	             	
       756.065	             	  2.687e+000 	
       762.031	  2.453e+000 	             	
       762.064	             	  2.687e+000 	
       768.036	  2.473e+000 	             	
       768.062	             	  2.673e+000 	
       774.029	  2.464e+000 	             	
       774.061	             	  2.691e+000 	
       780.027	  2.450e+000 	             	
       780.060	             	  2.675e+000 	
       786.026	  2.457e+000 	             	
       786.059	             	  2.690e+000 	
       792.029	  2.472e+000 	             	
       792.057	             	  2.682e+000 	
       798.031	  2.469e+000 	             	
       798.056	             	  2.688e+000 	
       804.025	  2.468e+000 	             	
       804.055	             	  2.687e+000 	
       810.024	  2.467e+000 	             	
       810.054	             	  2.693e+000 	
       816.024	  2.459e+000 	             	
       816.053	             	  2.692e+000 	
       822.024	  2.463e+000 	             	
       822.051	             	  2.689e+000 	
       828.023	  2.463e+000 	             	
       828.050	             	  2.688e+000 	
       834.020	  2.474e+000 	             	
       834.049	             	  2.687e+000 	
       840.019	  2.467e+000 	             	
       840.048	             	  2.694e+000 	
       846.013	  2.473e+000 	             	
       846.046	             	  2.689e+000 	
       852.018	  2.467e+000 	             	
       852.045	             	  2.683e+000 	
       858.010	  2.462e+000 	             	
       858.044	             	  2.687e+000 	
       864.009	  2.459e+000 	             	
       864.043	             	  2.687e+000 	
       870.007	  2.469e+000 	             	
       870.042	             	  2.687e+000 	
       876.007	  2.468e+000 	             	
       876.040	             	  2.687e+000 	
       882.009	  2.470e+000 	             	
       882.039	             	  2.688e+000 	
       888.003	  2.472e+000 	             	
       888.038	             	  2.686e+000 	
       894.002	  2.461e+000 	             	
       894.037	             	  2.686e+000 	
       900.001	  2.468e+000 	             	
       900.035	             	  2.690e+000 	
       906.034	             	  2.688e+000 	
       906.066	  2.464e+000 	             	
       912.002	  2.477e+000 	             	
       912.033	             	  2.691e+000 	
       918.032	             	  2.679e+000 	
       918.064	  2.470e+000 	             	
       924.031	             	  2.687e+000 	
       924.062	  2.462e+000 	             	
       930.029	             	  2.685e+000 	
       930.061	  2.468e+000 	             	
       936.028	             	  2.685e+000 	
       936.060	  2.472e+000 	             	
       942.027	             	  2.687e+000 	
       942.063	  2.457e+000 	             	
       948.026	             	  2.684e+000 	
       948.057	  2.459e+000 	             	
       954.024	             	  2.688e+000 	
       954.056	  2.455e+000 	             	
       960.023	             	  2.688e+000 	
       960.055	  2.470e+000 	             	
       966.022	             	  2.685e+000 	
       966.053	  2.471e+000 	             	
       972.021	             	  2.686e+000 	
       972.058	  2.460e+000 	             	
       978.020	             	  2.683e+000 	
       978.051	  2.475e+000 	             	
       984.018	             	  2.689e+000 	
       984.048	  2.472e+000 	             	
       990.048	  2.476e+000 	             	
       990.084	             	  2.684e+000 	
       996.046	  2.461e+000 	             	
       996.083	             	  2.679e+000 	
      1002.050	  2.468e+000 	             	
      1002.081	             	  2.686e+000 	
      1008.043	  2.468e+000 	             	
      1008.080	             	  2.688e+000 	
      1014.042	  2.475e+000 	             	
      1014.079	             	  2.686e+000 	
      1020.041	  2.466e+000 	             	
      1020.078	             	  2.677e+000 	
      1026.041	  2.467e+000 	             	
      1026.076	             	  2.689e+000 	
      1032.044	  2.474e+000 	             	
      1032.075	             	  2.681e+000 	
      1038.037	  2.466e+000 	             	
      1038.074	             	  2.684e+000 	
      1044.036	  2.466e+000 	             	
      1044.073	             	  2.690e+000 	
      1050.034	  2.466e+000 	             	
      1050.072	             	  2.686e+000 	
      1056.035	  2.461e+000 	             	
      1056.070	             	  2.687e+000 	
      1062.032	  2.474e+000 	             	
      1062.069	             	  2.690e+000 	
      1068.031	  2.462e+000 	             	
      1068.068	             	  2.686e+000 	
      1074.029	  2.454e+000 	             	
      1074.067	             	  2.666e+000 	
      1080.028	  2.471e+000 	             	
      1080.065	             	  2.690e+000 	
      1086.030	  2.459e+000 	             	
      1086.064	             	  2.688e+000 	
      1092.026	  2.467e+000 	             	
      1092.063	             	  2.688e+000 	
      1098.024	  2.462e+000 	             	
      1098.062	             	  2.684e+000 	
      1104.023	  2.467e+000 	             	
      1104.061	             	  2.689e+000 	
      1110.022	  2.463e+000 	             	
      1110.059	             	  2.684e+000 	
      1116.023	  2.463e+000 	             	
      1116.058	             	  2.684e+000 	
      1122.018	  2.460e+000 	             	
      1122.057	             	  2.685e+000 	
      1128.018	  2.469e+000 	             	
      1128.056	             	  2.684e+000 	
      1134.016	  2.471e+000 	             	
      1134.054	             	  2.685e+000 	
      1140.014	  2.464e+000 	             	
      1140.053	             	  2.683e+000 	
      1146.018	  2.468e+000 	             	
      1146.052	             	  2.683e+000 	
      1152.012	  2.472e+000 	             	
      1152.051	             	  2.689e+000 	
      1158.011	  2.462e+000 	             	
      1158.050	             	  2.686e+000 	
      1164.009	  2.469e+000 	             	
      1164.048	             	  2.682e+000 	
      1170.008	  2.476e+000 	             	
      1170.047	             	  2.691e+000 	
      1176.012	  2.467e+000 	             	
      1176.046	             	  2.682e+000 	
      1182.005	  2.465e+000 	             	
      1182.045	             	  2.688e+000 	
      1188.004	  2.472e+000 	             	
      1188.043	             	  2.680e+000 	
      1194.003	  2.476e+000 	             	
      1194.042	             	  2.690e+000 	
      1200.002	  2.469e+000 	             	
      1200.041	             	  2.690e+000 	
      1206.006	  2.470e+000 	             	
      1206.040	             	  2.685e+000 	
      1212.039	             	  2.693e+000 	
      1212.066	  2.474e+000 	             	
      1218.037	             	  2.681e+000 	
      1218.064	  2.475e+000 	             	
      1224.036	             	  2.679e+000 	
      1224.063	  2.473e+000 	             	
      1230.035	             	  2.691e+000 	
      1230.063	  2.472e+000 	             	
      1236.034	             	  2.684e+000 	
      1236.065	  2.473e+000 	             	
      1242.032	             	  2.685e+000 	
      1242.059	  2.462e+000 	             	
      1248.031	             	  2.687e+000 	
      1248.058	  2.469e+000 	             	
      1254.030	             	  2.673e+000 	
      1254.056	  2.466e+000 	             	
      1260.029	             	  2.688e+000 	
      1260.057	  2.462e+000 	             	
      1266.028	             	  2.681e+000 	
      1266.053	  2.476e+000 	             	
      1272.026	             	  2.686e+000 	
      1272.052	  2.464e+000 	             	
      1278.025	             	  2.681e+000 	
      1278.050	  2.467e+000 	             	
      1284.024	             	  2.687e+000 	
      1284.049	  2.465e+000 	             	
      1290.023	             	  2.681e+000 	
      1290.051	  2.469e+000 	             	
      1296.021	             	  2.688e+000 	
      1296.047	  2.475e+000 	             	
      1302.020	             	  2.684e+000 	
      1302.045	  2.452e+000 	             	
      1308.019	             	  2.686e+000 	
      1308.044	  2.460e+000 	             	
      1314.043	  2.465e+000 	             	
      1314.084	             	  2.685e+000 	
      1320.046	  2.472e+000 	             	
      1320.083	             	  2.690e+000 	
      1326.040	  2.467e+000 	             	
      1326.082	             	  2.680e+000 	
      1332.039	  2.471e+000 	             	
      1332.081	             	  2.669e+000 	
      1338.038	  2.464e+000 	             	
      1338.080	             	  2.687e+000 	
      1344.036	  2.467e+000 	             	
      1344.078	             	  2.686e+000 	
      1350.041	  2.456e+000 	             	
      1350.077	             	  2.687e+000 	
      1356.034	  2.469e+000 	             	
      1356.076	             	  2.690e+000 	
      1362.032	  2.465e+000 	             	
      1362.075	             	  2.688e+000 	
      1368.031	  2.460e+000 	             	
      1368.073	             	  2.682e+000 	
      1374.029	  2.473e+000 	             	
      1374.072	             	  2.686e+000 	
      1380.034	  2.472e+000 	             	
      1380.071	             	  2.681e+000 	
      1386.027	  2.465e+000 	             	
      1386.070	             	  2.686e+000 	
      1392.026	  2.470e+000 	             	
      1392.069	             	  2.686e+000 	
      1398.024	  2.463e+000 	             	
      1398.067	             	  2.687e+000 	
      1404.023	  2.469e+000 	             	
      1404.066	             	  2.684e+000 	
      1410.028	  2.473e+000 	             	
      1410.065	             	  2.682e+000 	
